SPDRS&P500ETFTrust,Last:383.595,Change:6.93
"Date:March5,2021,9:44PMEST",Bid:383.93,Ask:383.97,Size:19*2,"Volume:152,039,624"
ExpirationDate,Calls,LastSale,Net,Bid,Ask,Volume,IV,Delta,Gamma,OpenInterest,Strike,Puts,LastSale,Net,Bid,Ask,Volume,IV,Delta,Gamma,OpenInterest
FriMar052021,SPY210305C00305000,85.04,0,78.3,79.06,0,12.172,0.9819,0.001,6,305.00,SPY210305P00305000,0.01,0,0,0.01,0,8.001,-0.0009,0.0001,18318
FriMar052021,SPY210305C00310000,79.23,0,73.3,74.06,0,11.501,0.9802,0.0012,10,310.00,SPY210305P00310000,0.01,0.005,0,0.01,15,7.327,-0.0007,0.0001,1500
FriMar052021,SPY210305C00315000,74.96,0,68.3,69.06,0,10.8034,0.9785,0.0013,18,315.00,SPY210305P00315000,0.01,0.005,0,0.01,3,6.7369,-0.0007,0.0001,24109
FriMar052021,SPY210305C00320000,56.47,0.02,63.31,64.05,4,10.0546,0.9771,0.0015,8,320.00,SPY210305P00320000,0.01,0.005,0,0.01,5,6.001,-0.0005,0.0001,45999
FriMar052021,SPY210305C00325000,62.53,0,58.3,59.06,0,9.2086,0.9767,0.0017,9,325.00,SPY210305P00325000,0.01,0,0,0.01,0,5.501,-0.0005,0.0001,2256
FriMar052021,SPY210305C00330000,54.17,7.72,53.3,54.06,11,8.5496,0.9741,0.002,35,330.00,SPY210305P00330000,0.01,0.005,0,0.01,229,5.2491,-0.0009,0.0002,4192
FriMar052021,SPY210305C00335000,44.05,2.59,48.3,49.06,8,7.818,0.9721,0.0023,49,335.00,SPY210305P00335000,0.01,0.005,0,0.01,55,4.6479,-0.0007,0.0002,26838
FriMar052021,SPY210305C00338000,46.35,0,45.3,46.06,0,7.467,0.9692,0.0026,11,338.00,SPY210305P00338000,0.01,0,0,0.01,0,4.4843,-0.001,0.0002,779
FriMar052021,SPY210305C00339000,43.66,0,44.3,45.06,0,7.1959,0.9708,0.0026,15,339.00,SPY210305P00339000,0.01,-0.005,0,0.01,1,4.3535,-0.001,0.0002,1585
FriMar052021,SPY210305C00340000,40.24,3.67,43.37,44.05,11,7.0938,0.9696,0.0027,51,340.00,SPY210305P00340000,0.01,-0.005,0,0.01,40,4.4297,-0.0015,0.0003,3835
FriMar052021,SPY210305C00341000,33.07,-2.495,42.37,43.06,4,6.9868,0.9683,0.0029,0,341.00,SPY210305P00341000,0.01,-0.005,0,0.01,1,4.001,-0.0007,0.0002,2086
FriMar052021,SPY210305C00342000,40.23,0,41.37,42.05,0,6.7825,0.9689,0.0029,5,342.00,SPY210305P00342000,0.01,0,0,0.01,0,4.001,-0.0009,0.0002,1112
FriMar052021,SPY210305C00343000,37.9,4.41,40.3,41.06,4,6.6553,0.9679,0.003,21,343.00,SPY210305P00343000,0.01,0,0,0.01,0,4.001,-0.0012,0.0003,1293
FriMar052021,SPY210305C00344000,36.85,4.29,39.37,40.06,54,6.4909,0.9677,0.0031,10,344.00,SPY210305P00344000,0.02,0,0,0.01,0,4.001,-0.0015,0.0003,2193
FriMar052021,SPY210305C00345000,38.29,6.75,38.31,39.05,10,6.4583,0.9647,0.0034,52,345.00,SPY210305P00345000,0.01,-0.015,0,0.01,48,3.751,-0.001,0.0003,2545
FriMar052021,SPY210305C00346000,35.6,0,37.31,38.05,0,6.2152,0.9661,0.0034,4,346.00,SPY210305P00346000,0.02,0,0,0.01,0,3.7388,-0.0013,0.0003,1524
FriMar052021,SPY210305C00347000,27.93,-1.565,36.37,37.05,4,6.0874,0.9651,0.0036,17,347.00,SPY210305P00347000,0.01,-0.015,0,0.01,7,3.6844,-0.0015,0.0004,2519
FriMar052021,SPY210305C00348000,33.84,0,35.37,36.06,0,5.9603,0.9639,0.0037,1,348.00,SPY210305P00348000,0.01,-0.015,0,0.01,519,3.6432,-0.0018,0.0004,3098
FriMar052021,SPY210305C00349000,33.68,0,34.3,35.06,0,5.851,0.9622,0.004,14,349.00,SPY210305P00349000,0.03,0,0,0.01,0,3.4175,-0.0013,0.0004,4066
FriMar052021,SPY210305C00350000,33.3,6.695,33.3,34.06,66,5.6598,0.9625,0.0041,58,350.00,SPY210305P00350000,0.01,-0.025,0,0.01,557,3.3816,-0.0016,0.0004,23709
FriMar052021,SPY210305C00351000,26.21,0.665,32.3,33.06,2,5.5269,0.9614,0.0043,4,351.00,SPY210305P00351000,0.01,-0.025,0,0.01,1119,3.1385,-0.001,0.0003,5037
FriMar052021,SPY210305C00352000,23.85,-0.75,31.37,32.06,1,5.381,0.9605,0.0045,20,352.00,SPY210305P00352000,0.01,-0.035,0,0.01,121,3.1101,-0.0013,0.0004,1651
FriMar052021,SPY210305C00352500,31.18,0,30.87,31.56,0,5.3084,0.96,0.0046,8,352.50,SPY210305P00352500,0.01,-0.035,0,0.01,16,3.0984,-0.0015,0.0004,12981
FriMar052021,SPY210305C00353000,24.2,0.705,30.31,31.05,2,5.2202,0.96,0.0047,7,353.00,SPY210305P00353000,0.01,-0.035,0,0.01,1059,3.0881,-0.0017,0.0005,5277
FriMar052021,SPY210305C00354000,20.93,-1.575,29.3,30.06,12,5.0904,0.9585,0.0049,15,354.00,SPY210305P00354000,0.01,-0.045,0,0.01,53,3.0708,-0.0022,0.0006,2648
FriMar052021,SPY210305C00355000,28.86,7.37,28.31,29.05,30,4.9762,0.9565,0.0052,51,355.00,SPY210305P00355000,0.01,-0.055,0,0.01,855,2.8213,-0.0014,0.0005,8965
FriMar052021,SPY210305C00356000,21.16,0,27.3,28.06,0,4.814,0.9558,0.0055,61,356.00,SPY210305P00356000,0.01,-0.065,0,0.01,278,2.8078,-0.0019,0.0006,4206
FriMar052021,SPY210305C00357000,18.42,-1.11,26.37,27.06,1,4.6507,0.9551,0.0057,14,357.00,SPY210305P00357000,0.01,-0.075,0,0.01,501,2.5562,-0.0011,0.0004,2911
FriMar052021,SPY210305C00357500,26.43,7.395,25.87,26.56,61,4.599,0.9538,0.0059,20,357.50,SPY210305P00357500,0.01,-0.085,0,0.01,2450,2.5507,-0.0013,0.0005,2913
FriMar052021,SPY210305C00358000,25.58,7.055,25.31,26.05,10,4.5022,0.9539,0.006,15,358.00,SPY210305P00358000,0.01,-0.085,0,0.01,2945,2.5457,-0.0016,0.0006,4803
FriMar052021,SPY210305C00359000,23.87,6.29,24.37,25.06,6,4.5495,0.9453,0.0069,39,359.00,SPY210305P00359000,0.01,-0.105,0,0.01,1079,2.5369,-0.0022,0.0008,11493
FriMar052021,SPY210305C00360000,23.75,7.15,23.3,24.06,624,4.2301,0.9503,0.0068,349,360.00,SPY210305P00360000,0.01,-0.125,0,0.01,12288,2.284,-0.0012,0.0005,29572
FriMar052021,SPY210305C00361000,20.28,4.655,22.3,23.06,234,4.0651,0.9494,0.0072,203,361.00,SPY210305P00361000,0.01,-0.155,0,0.01,2392,2.3228,-0.0022,0.0008,4024
FriMar052021,SPY210305C00362000,21.8,7.165,21.37,22.06,50,4.097,0.9399,0.0082,57,362.00,SPY210305P00362000,0.01,-0.185,0,0.01,3495,2.1749,-0.0019,0.0008,5094
FriMar052021,SPY210305C00362500,17.89,3.755,20.87,21.56,79,3.857,0.9462,0.008,201,362.50,SPY210305P00362500,0.01,-0.205,0,0.01,1256,2.126,-0.0019,0.0008,4788
FriMar052021,SPY210305C00363000,20.19,6.52,20.3,21.06,111,3.7692,0.946,0.0082,48,363.00,SPY210305P00363000,0.01,-0.225,0,0.01,5241,2.001,-0.0013,0.0006,11322
FriMar052021,SPY210305C00364000,19.52,6.795,19.37,20.05,62,3.6072,0.9446,0.0087,64,364.00,SPY210305P00364000,0.01,-0.275,0,0.01,7112,2.001,-0.0022,0.001,9277
FriMar052021,SPY210305C00365000,18.82,7.005,18.31,19.05,344,3.4697,0.942,0.0094,759,365.00,SPY210305P00365000,0.01,-0.335,0,0.01,22770,1.876,-0.002,0.0009,29256
FriMar052021,SPY210305C00366000,17.75,6.865,17.37,18.06,218,3.399,0.9353,0.0105,804,366.00,SPY210305P00366000,0.01,-0.415,0,0.01,9637,1.8325,-0.0026,0.0012,15020
FriMar052021,SPY210305C00367000,17.09,7.105,16.3,17.06,267,3.3113,0.9288,0.0116,551,367.00,SPY210305P00367000,0.01,-0.505,0,0.01,12794,1.7317,-0.0027,0.0013,7898
FriMar052021,SPY210305C00367500,16.34,6.805,15.87,16.55,93,3.0688,0.9373,0.0113,435,367.50,SPY210305P00367500,0.01,-0.56,0,0.01,12122,1.6918,-0.0029,0.0015,8886
FriMar052021,SPY210305C00368000,15.97,6.87,15.3,16.06,472,3.0286,0.9336,0.012,353,368.00,SPY210305P00368000,0.01,-0.62,0,0.01,28719,1.6584,-0.0032,0.0016,19836
FriMar052021,SPY210305C00369000,14.57,6.335,14.37,15.06,868,2.875,0.9306,0.0131,281,369.00,SPY210305P00369000,0.01,-0.76,0,0.01,38535,1.5099,-0.0025,0.0015,13596
FriMar052021,SPY210305C00370000,13.75,6.35,13.37,14.06,2459,2.8461,0.9181,0.015,1808,370.00,SPY210305P00370000,0.01,-0.925,0,0.01,127097,1.3611,-0.0019,0.0013,31513
FriMar052021,SPY210305C00371000,13,6.4,12.3,13.06,1240,2.5718,0.9229,0.0158,640,371.00,SPY210305P00371000,0.01,-1.12,0,0.01,42001,1.3274,-0.003,0.002,10834
FriMar052021,SPY210305C00372000,11.94,6.11,11.3,12.06,2195,2.4233,0.9178,0.0176,909,372.00,SPY210305P00372000,0.01,-1.35,0,0.01,61204,1.1886,-0.0024,0.0018,11901
FriMar052021,SPY210305C00372500,11.34,5.885,10.87,11.56,1385,2.3765,0.9125,0.0188,833,372.50,SPY210305P00372500,0.01,-1.48,0,0.01,23178,1.1788,-0.0033,0.0024,4818
FriMar052021,SPY210305C00373000,10.75,5.645,10.37,11.05,8767,2.3227,0.9075,0.0201,1927,373.00,SPY210305P00373000,0.01,-1.625,0,0.01,67400,1.1707,-0.0045,0.0032,11683
FriMar052021,SPY210305C00374000,9.7,5.29,9.3,10.06,19711,2.1706,0.9003,0.0227,2997,374.00,SPY210305P00374000,0.01,-1.935,0,0.01,75155,1.001,-0.0028,0.0024,11867
FriMar052021,SPY210305C00375000,8.77,5,8.59,9.06,44003,1.8966,0.9055,0.025,4214,375.00,SPY210305P00375000,0.01,-2.295,0,0.01,208043,0.9385,-0.0041,0.0036,30169
FriMar052021,SPY210305C00376000,7.75,4.565,7.31,8.05,55723,1.78,0.892,0.0294,5350,376.00,SPY210305P00376000,0.01,-2.705,0,0.01,150848,0.9697,-0.0119,0.009,9026
FriMar052021,SPY210305C00377000,6.47,3.825,6.47,7.05,63238,1.6091,0.8827,0.0344,5526,377.00,SPY210305P00377000,0.01,-3.165,0,0.01,81799,0.876,-0.0154,0.0125,16314
FriMar052021,SPY210305C00377500,6.34,3.95,5.81,6.55,28432,1.5295,0.8762,0.0376,3466,377.50,SPY210305P00377500,0.01,-3.415,0,0.01,31701,0.8135,-0.0152,0.0133,10145
FriMar052021,SPY210305C00378000,5.7,3.54,5.37,6.06,80056,1.4479,0.8688,0.0414,4910,378.00,SPY210305P00378000,0.01,-3.68,0,0.01,102895,0.751,-0.0161,0.0151,16638
FriMar052021,SPY210305C00379000,4.68,2.95,4.31,5.07,70725,1.2788,0.8518,0.0509,5607,379.00,SPY210305P00379000,0.01,-4.25,0,0.01,82782,0.6976,-0.0274,0.0255,10092
FriMar052021,SPY210305C00380000,3.62,2.26,3.6,3.73,219897,1.0964,0.8309,0.0648,20459,380.00,SPY210305P00380000,0.01,-4.885,0,0.01,134865,0.5959,-0.0408,0.0414,24331
FriMar052021,SPY210305C00381000,2.81,1.765,2.38,3.06,80857,0.9265,0.7953,0.0863,8204,381.00,SPY210305P00381000,0.01,-5.57,0.01,0.02,62014,0.5285,-0.0748,0.0753,14742
FriMar052021,SPY210305C00382000,1.66,0.875,1.62,1.89,98840,0.7782,0.7313,0.1194,9525,382.00,SPY210305P00382000,0.02,-6.3,0.01,0.02,37464,0.47,-0.1545,0.1425,9635
FriMar052021,SPY210305C00382500,1.3,0.62,0.99,1.42,39042,0.7174,0.6806,0.1403,5781,382.50,SPY210305P00382500,0.03,-6.685,0.03,0.04,17095,0.4387,-0.2224,0.1913,3527
FriMar052021,SPY210305C00383000,0.75,0.165,0.71,0.87,89176,0.6535,0.6182,0.1644,11557,383.00,SPY210305P00383000,0.07,-7.05,0.07,0.08,43433,0.4051,-0.3161,0.2474,12269
FriMar052021,SPY210305C00384000,0.12,-0.305,0.12,0.13,90949,0.5614,0.4392,0.1978,10959,384.00,SPY210305P00384000,0.45,-7.515,0.33,0.56,24683,0.3202,-0.6069,0.3383,8957
FriMar052021,SPY210305C00385000,0.02,-0.295,0.02,0.03,91061,0.5222,0.241,0.1681,25713,385.00,SPY210305P00385000,1.27,-7.575,1.13,1.55,8450,0.02,-0.9247,0.1562,13201
FriMar052021,SPY210305C00386000,0.02,-0.205,0.01,0.02,42283,0.5234,0.108,0.0999,17318,386.00,SPY210305P00386000,2.22,-7.565,2.05,2.54,3573,0.02,-0.8561,0.1087,7028
FriMar052021,SPY210305C00387000,0.01,-0.155,0,0.01,46048,0.5455,0.0444,0.0484,10184,387.00,SPY210305P00387000,3.09,-7.62,3.25,3.42,2667,0.02,-0.9657,0.042,16289
FriMar052021,SPY210305C00387500,0.01,-0.125,0,0.01,7309,0.5658,0.0297,0.0336,5242,387.50,SPY210305P00387500,3.63,-7.56,3.44,4.2,442,0.02,-0.9913,0.0147,1865
FriMar052021,SPY210305C00388000,0.01,-0.105,0,0.01,15118,0.5967,0.0217,0.0245,16510,388.00,SPY210305P00388000,4.2,-7.47,3.95,4.64,2010,0.02,-0.9213,0.0495,5198
FriMar052021,SPY210305C00389000,0.01,-0.065,0,0.01,10432,0.6009,0.0068,0.0089,9733,389.00,SPY210305P00389000,5.18,-7.445,4.93,5.7,843,0.02,-1,0.0355,4636
FriMar052021,SPY210305C00390000,0.01,-0.045,0,0.01,15214,0.6597,0.0038,0.0048,29175,390.00,SPY210305P00390000,6.29,-7.305,5.96,6.69,2117,0.02,-0.985,0.0131,10356
FriMar052021,SPY210305C00391000,0.01,-0.025,0,0.01,4026,0.7816,0.0046,0.0048,13287,391.00,SPY210305P00391000,7.3,-7.3,6.94,7.63,600,0.02,-1,0.0237,2201
FriMar052021,SPY210305C00392000,0.01,-0.015,0,0.01,2457,0.9036,0.0053,0.0047,11319,392.00,SPY210305P00392000,8.29,-7.27,7.94,8.63,775,0.02,-0.9526,0.0204,2093
FriMar052021,SPY210305C00392500,0.01,-0.015,0,0.01,2390,0.9006,0.0033,0.0031,11546,392.50,SPY210305P00392500,8.97,-7.1,8.45,9.13,112,0.02,-0.9806,0.0113,568
FriMar052021,SPY210305C00393000,0.01,-0.005,0,0.01,2949,1.0255,0.0058,0.0046,12324,393.00,SPY210305P00393000,8.9,-7.68,8.94,9.63,340,0.02,-0.9577,0.0171,1174
FriMar052021,SPY210305C00394000,0.01,-0.005,0,0.01,1098,1.0255,0.0026,0.0022,8372,394.00,SPY210305P00394000,10.21,-7.355,9.94,10.63,169,0.02,-0.9622,0.0146,972
FriMar052021,SPY210305C00395000,0.01,-0.005,0,0.01,4480,1.1942,0.0043,0.003,27515,395.00,SPY210305P00395000,11.3,-7.26,10.94,11.7,246,0.02,-0.9969,0.0023,1786
FriMar052021,SPY210305C00396000,0.01,-0.005,0,0.01,361,1.2117,0.0025,0.0018,15911,396.00,SPY210305P00396000,11.65,-7.925,11.94,12.63,40,0.02,-0.9977,0.0017,404
FriMar052021,SPY210305C00397000,0.01,0.005,0,0.01,268,1.3461,0.0032,0.002,12139,397.00,SPY210305P00397000,15.32,-5.25,12.94,13.63,3351,0.02,-0.9969,0.002,3488
FriMar052021,SPY210305C00397500,0.01,0.005,0,0.01,70,1.3603,0.0025,0.0016,3712,397.50,SPY210305P00397500,21.15,0,13.45,14.13,0,0.02,-0.988,0.0052,152
FriMar052021,SPY210305C00398000,0.01,0.005,0,0.01,466,1.3773,0.0021,0.0013,5715,398.00,SPY210305P00398000,14.91,-6.625,13.94,14.7,41,0.02,-0.9965,0.002,340
FriMar052021,SPY210305C00399000,0.01,0.005,0,0.01,744,1.5188,0.0027,0.0016,8031,399.00,SPY210305P00399000,18.2,-4.27,14.95,15.69,20,0.02,-0.9949,0.0025,321
FriMar052021,SPY210305C00400000,0.01,0.005,0,0.01,674,1.6585,0.0034,0.0017,136269,400.00,SPY210305P00400000,16.21,-7.35,15.95,16.69,219,0.02,-0.9954,0.0022,391
FriMar052021,SPY210305C00401000,0.01,0.005,0,0.01,1665,1.7175,0.0029,0.0014,12815,401.00,SPY210305P00401000,21.89,-2.655,16.94,17.7,1,0.02,-0.9971,0.0014,92
FriMar052021,SPY210305C00402000,0.03,0.025,0,0.01,1183,1.8028,0.0027,0.0013,9411,402.00,SPY210305P00402000,18.52,-6.935,17.94,18.63,41,0.02,-0.9888,0.0038,66
FriMar052021,SPY210305C00402500,0.01,0.005,0,0.01,16,1.8521,0.0027,0.0013,907,402.50,SPY210305P00402500,13.18,0,18.44,19.13,0,0.02,-0.9905,0.0033,14
FriMar052021,SPY210305C00403000,0.01,0.005,0,0.01,28,1.8791,0.0024,0.0011,4803,403.00,SPY210305P00403000,20.82,0,18.95,19.63,0,0.02,-0.9907,0.0032,0
FriMar052021,SPY210305C00404000,0.01,0.005,0,0.01,22,2.001,0.0027,0.0012,2765,404.00,SPY210305P00404000,27.18,0,19.94,20.63,0,0.02,-0.9897,0.0032,26
FriMar052021,SPY210305C00405000,0.01,0.005,0,0.01,6,2.001,0.0018,0.0008,5310,405.00,SPY210305P00405000,21.66,-6.88,20.94,21.63,4,0.02,-0.9912,0.0027,64
FriMar052021,SPY210305C00406000,0.01,0.005,0,0.01,20,2.126,0.0021,0.0009,947,406.00,SPY210305P00406000,25.67,0,21.94,22.7,0,0.02,-0.9977,0.001,0
FriMar052021,SPY210305C00407000,0.01,0.005,0,0.01,53,2.1951,0.0019,0.0008,2409,407.00,SPY210305P00407000,31,0,22.94,23.63,0,0.02,-0.9919,0.0024,7
FriMar052021,SPY210305C00407500,0.01,0.005,0,0.01,10,2.257,0.002,0.0008,1399,407.50,SPY210305P00407500,16.93,0,23.44,24.13,0,0.02,-1,0.003,13
FriMar052021,SPY210305C00408000,0.01,0,0,0.01,0,2.3326,0.0023,0.0009,2226,408.00,SPY210305P00408000,18.46,0,23.94,24.7,0,0.02,-0.998,0.0008,2
FriMar052021,SPY210305C00409000,0.01,0.005,0,0.01,13,2.2822,0.0013,0.0005,1261,409.00,SPY210305P00409000,28.5,-4.05,24.94,25.7,3,0.02,-0.9986,0.0005,52
FriMar052021,SPY210305C00410000,0.01,0.005,0,0.01,7,2.5339,0.0024,0.0008,4451,410.00,SPY210305P00410000,25.8,-7.735,25.94,26.7,14,0.02,-0.9976,0.0008,104
FriMar052021,SPY210305C00411000,0.01,0.005,0,0.01,2,2.5409,0.0018,0.0006,2107,411.00,SPY210305P00411000,31.8,0,26.94,27.7,0,0.02,-0.9984,0.0006,1
FriMar052021,SPY210305C00412000,0.01,0.005,0,0.01,2,2.549,0.0013,0.0005,1162,412.00,SPY210305P00412000,32.49,0,27.94,28.63,0,0.02,-0.992,0.002,10
FriMar052021,SPY210305C00413000,0.01,0,0,0.01,0,2.7989,0.0023,0.0007,593,413.00,SPY210305P00413000,29.81,0,28.94,29.63,0,0.02,-0.9929,0.0017,56
FriMar052021,SPY210305C00414000,0.01,0,0,0.01,0,2.8083,0.0018,0.0006,2035,414.00,SPY210305P00414000,34.49,0,29.94,30.63,0,0.02,-0.9935,0.0016,4
FriMar052021,SPY210305C00415000,0.01,0,0,0.01,0,2.8197,0.0014,0.0005,2681,415.00,SPY210305P00415000,22.61,0,30.94,31.63,0,0.02,-1,0.002,8
FriMar052021,SPY210305C00416000,0.01,0,0,0.01,0,3.067,0.0023,0.0007,1187,416.00,SPY210305P00416000,23.82,0,31.94,32.63,0,0.02,-0.9937,0.0014,10
FriMar052021,SPY210305C00417000,0.01,0.005,0,0.01,1,3.0804,0.0018,0.0005,307,417.00,SPY210305P00417000,27.71,0,32.94,33.7,0,0.02,-0.9985,0.0004,100
FriMar052021,SPY210305C00418000,0.01,0,0,0.01,0,3.0968,0.0015,0.0004,352,418.00,SPY210305P00418000,25.12,0,33.95,34.63,0,0.02,-0.9929,0.0015,12
FriMar052021,SPY210305C00419000,0.01,0,0,0.01,0,3.1169,0.0012,0.0004,610,419.00,SPY210305P00419000,39.96,0,34.94,35.63,0,0.02,-0.9929,0.0015,4
FriMar052021,SPY210305C00420000,0.01,0.005,0,0.01,10,3.1416,0.001,0.0003,945,420.00,SPY210305P00420000,46.99,3.43,35.94,36.63,4,0.02,-1,0.0015,82
FriMar052021,SPY210305C00421000,0.02,0,0,0.01,0,3.3794,0.0016,0.0004,340,421.00,SPY210305P00421000,45.41,0,36.95,37.63,0,0.02,-0.9935,0.0013,0
FriMar052021,SPY210305C00422000,0.02,0,0,0.01,0,3.4077,0.0013,0.0004,237,422.00,SPY210305P00422000,0,0,37.94,38.63,0,0.02,-0.9944,0.0011,0
FriMar052021,SPY210305C00423000,0.01,0,0,0.01,0,3.6289,0.0019,0.0005,55,423.00,SPY210305P00423000,36.99,0,38.95,39.69,0,0,-0.9972,0.0006,0
FriMar052021,SPY210305C00424000,0.01,0,0,0.01,0,3.6581,0.0017,0.0004,4,424.00,SPY210305P00424000,41.24,-6.32,39.94,40.7,4,0,-0.9991,0.0002,0
FriMar052021,SPY210305C00425000,0.01,0,0,0.01,0,3.6946,0.0015,0.0004,496,425.00,SPY210305P00425000,42.63,0,40.94,41.63,0,0.02,-1,0.0012,100
FriMar052021,SPY210305C00426000,0.01,0,0,0.01,0,3.7402,0.0013,0.0003,188,426.00,SPY210305P00426000,0,0,41.95,42.69,0,0,-0.9979,0.0005,0
FriMar052021,SPY210305C00427000,0.01,0,0,0.01,0,3.751,0.0011,0.0003,731,427.00,SPY210305P00427000,0,0,42.94,43.7,0,0.02,-0.9982,0.0004,0
FriMar052021,SPY210305C00428000,0.01,0,0,0.01,0,4.001,0.0017,0.0004,420,428.00,SPY210305P00428000,0,0,43.94,44.7,0,0,-0.9989,0.0003,0
FriMar052021,SPY210305C00429000,0.01,0,0,0.01,0,4.001,0.0014,0.0003,100,429.00,SPY210305P00429000,46.21,0,44.95,45.63,0,0,-1,0.001,0
FriMar052021,SPY210305C00430000,0.01,0,0,0.01,0,4.001,0.0011,0.0003,1562,430.00,SPY210305P00430000,47.58,0,45.95,46.69,0,0,-0.9978,0.0005,30
FriMar052021,SPY210305C00435000,0.02,0,0,0.01,0,4.3676,0.001,0.0002,75,435.00,SPY210305P00435000,45.4,0,50.94,51.63,0,0.02,-1,0.0009,1
FriMar052021,SPY210305C00440000,0.01,0,0,0.01,0,4.6382,0.0008,0.0002,217,440.00,SPY210305P00440000,62.43,0,55.94,56.63,0,0.02,-1,0.0008,0
FriMar052021,SPY210305C00445000,0.01,0,0,0.01,0,5.184,0.0011,0.0002,211,445.00,SPY210305P00445000,67.43,0,60.95,61.63,0,0,-1,0.0007,0
